2017-01-18 | 00:40:28 |  401 | WARNING | xmlmerge.manipulation.NameChanger | changeName | No attributes attached to Node {0}
2017-01-21 | 06:15:20 |   72 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 06:17:10 |  104 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 06:18:16 |  377 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 06:20:03 |  166 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 16:54:16 |  142 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 16:54:45 |  142 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 17:04:54 |  836 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 17:04:54 |  898 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-21 | 22:07:49 |  274 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-21 | 22:07:49 |  348 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-21 | 22:07:49 |  351 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-21 | 22:07:49 |  352 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-21 | 22:07:49 |  355 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-21 | 22:07:49 |  356 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-25 | 13:51:46 |   62 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-25 | 13:51:46 |  312 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-25 | 13:51:46 |  328 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-25 | 13:51:46 |  328 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-25 | 13:55:33 |  158 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-25 | 13:55:33 |  205 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-25 | 13:55:33 |  205 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-25 | 13:55:33 |  205 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-25 | 13:59:10 |  471 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | null
2017-01-25 | 13:59:10 |  549 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-25 | 13:59:10 |  564 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
2017-01-25 | 13:59:10 |  564 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | null
2017-01-25 | 13:59:10 |  564 | WARNING | xmlmerge.manipulation.ValueSwapper | parseValue | Node {0} does not contain a number
2017-01-25 | 13:59:10 |  580 | WARNING | xmlmerge.manipulation.ValueParser | parseValue | Node {0} does not contain a number
